timestamp,experiment_name,dataset_name,test_env,input_shape,num_classes,num_environments,model_architecture,total_parameters,trainable_parameters,pretrained,dropout_rate,epochs,batch_size,learning_rate,weight_decay,final_train_acc,final_test_acc,best_test_acc,final_train_loss,final_test_loss,total_training_time,avg_epoch_time,device
20250528_210414,vgg16_domain_experiment,ColoredMNIST,0,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,2,16,0.0001,0.0001,0.7280246860669438,0.7266649524299306,0.7266649524299306,0.584517885701676,0.6025278134612371,83.83709692955017,41.918548464775085,cuda
20250528_212125,vgg16_domain_experiment,ColoredMNIST,1,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,2,32,0.0001,0.0001,0.5055392461482417,0.5038786268375263,0.5038786268375263,0.6931356724810926,0.6931210984922436,51.660863399505615,25.830431699752808,cuda
20250528_213823,vgg16_domain_experiment,TerraIncognita,0,"(3, 224, 224)",10,4,VGG16_Standard,257944370,257944370,True,0.5,1,16,0.0001,0.0001,0.5763724948515747,0.4406640705062513,0.4406640705062513,1.1532451162297117,1.5368682581870283,536.6152188777924,536.6152188777924,cuda
20250528_214027,batch_exp_001_ColoredMNIST_env0_lr0.0001_bs16,ColoredMNIST,0,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,16,0.0001,0.0001,0.6222517464535208,0.6997514356732665,0.6997514356732665,0.6448090211465966,0.6270560610980673,42.893539905548096,42.893539905548096,cuda
20250528_214056,batch_exp_002_ColoredMNIST_env0_lr0.0001_bs32,ColoredMNIST,0,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,32,0.0001,0.0001,0.5097929970428149,0.0990828833461901,0.0990828833461901,0.6929940676035946,0.7284820935497546,26.132672786712646,26.132672786712646,cuda
20250528_214140,batch_exp_003_ColoredMNIST_env0_lr0.0005_bs16,ColoredMNIST,0,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,16,0.0005,0.0001,0.5007928684695495,0.5074569298020056,0.5074569298020056,0.6933739779745577,0.6930948374531218,42.89259314537048,42.89259314537048,cuda
20250528_214209,batch_exp_004_ColoredMNIST_env0_lr0.0005_bs32,ColoredMNIST,0,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,32,0.0005,0.0001,0.5037500535721939,0.5074569298020056,0.5074569298020056,0.6933164332827476,0.6930331808246978,26.409183263778687,26.409183263778687,cuda
20250528_214253,batch_exp_005_ColoredMNIST_env1_lr0.0001_bs16,ColoredMNIST,1,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,16,0.0001,0.0001,0.5054749608931365,0.5038786268375263,0.5038786268375263,0.6931942472766736,0.6931250475301083,42.55130410194397,42.55130410194397,cuda
20250528_214322,batch_exp_006_ColoredMNIST_env1_lr0.0001_bs32,ColoredMNIST,1,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,32,0.0001,0.0001,0.5083463689545075,0.5038786268375263,0.5038786268375263,0.6931070243659084,0.6931983393349059,26.60736608505249,26.60736608505249,cuda
20250528_214406,batch_exp_007_ColoredMNIST_env1_lr0.0005_bs16,ColoredMNIST,1,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,16,0.0005,0.0001,0.5048321083420833,0.5038786268375263,0.5038786268375263,0.6933090938248807,0.693120286144403,42.47549819946289,42.47549819946289,cuda
20250528_214435,batch_exp_008_ColoredMNIST_env1_lr0.0005_bs32,ColoredMNIST,1,"(2, 28, 28)",2,3,VGG16_Small,14516738,14516738,True,0.5,1,32,0.0005,0.0001,0.5047249662502411,0.5038786268375263,0.5038786268375263,0.6932716305941752,0.6931685510563523,26.48337173461914,26.48337173461914,cuda
